,wx,wy,wz,nx,ny,nz,tx,ty,tz
0,12.015999999999998,-9.859,-6.479,-1.4340000000000002,7.1110000000000015,2.832,1.659,-0.40299999999999997,5.477
1,12.099,-10.064,-7.256,-1.683,7.465,2.94,0.435,2.6910000000000003,8.265
2,13.446,-10.37,-7.97,-1.986,7.855,3.133,-0.639,6.593999999999999,9.035
3,15.31,-11.01,-8.423,-2.26,8.231,3.4130000000000003,-1.298,9.925,7.051
4,16.904,-10.862,-7.926,-2.41,8.23,3.591,-2.494,11.947000000000001,4.404
5,17.601,-11.206,-7.608,-2.356,7.372999999999998,3.516,-4.521,11.722000000000001,3.218
6,17.611,-10.89,-7.301,-2.012,6.202000000000001,3.152,-6.94,9.475,3.637
7,17.664,-10.22,-6.822,-1.663,5.457999999999998,2.786,-8.948,6.8729999999999976,4.247
8,18.026,-9.312999999999999,-6.771,-1.524,5.448,2.7110000000000003,-9.847000000000001,5.242999999999999,4.4639999999999995
9,18.941,-8.195,-6.772,-1.725,5.79,2.951,-9.117,4.938,4.493
10,20.23,-7.104,-6.602,-2.166,6.12,3.189,-6.95,5.593,4.641
11,21.029,-6.102,-6.245,-2.592,6.384,3.389,-4.181,6.5329999999999995,4.575
12,20.913,-5.059,-5.816,-2.648,6.75,3.644,-1.6219999999999999,7.497000000000001,4.46
13,20.15,-3.865,-5.3820000000000014,-2.14,7.4529999999999985,3.986,0.326,8.383,4.428
14,19.215999999999998,-2.401,-5.095,-1.65,8.138,4.646,1.2790000000000001,9.107999999999999,4.496
15,18.656,-0.8009999999999999,-4.684,-1.709,8.404,5.26,1.3630000000000002,9.455,4.684
16,18.249000000000002,0.696,-4.211,-2.036,8.392999999999999,5.337999999999999,0.894,9.281,4.976
17,17.549,2.073,-3.758,-2.194,8.38,5.003,0.212,8.613999999999999,5.398
18,16.864,3.205,-3.4330000000000003,-1.949,8.49,4.597,-0.371,7.689,5.881
19,16.059,4.227,-3.002,-1.4369999999999998,8.751,4.359,-0.833,6.7970000000000015,6.3729999999999976
20,15.097999999999999,5.1579999999999995,-2.245,-1.094,9.154,4.227,-1.182,6.19,6.777
21,13.927999999999999,5.976,-1.571,-1.229,9.513,4.154,-1.506,5.92,7.046
22,12.494000000000002,6.566,-1.0270000000000001,-1.555,9.748,4.181,-1.7730000000000001,5.8420000000000005,7.11
23,11.158,6.984,-0.625,-1.937,9.917,4.354,-1.96,5.875,7.025
24,10.184,7.53,-0.435,-2.501,9.935,4.632,-2.115,5.9879999999999995,6.968
25,9.718,8.498,-0.268,-3.1060000000000003,9.777,4.873,-2.333,5.995,6.797999999999999
26,9.692,9.744,-0.05,-3.302,9.606,4.934,-2.64,6.039,6.153
27,9.934,11.017000000000001,0.23600000000000002,-2.983,9.577,4.815,-2.555,6.312,5.185
28,10.369000000000002,12.39,0.5710000000000001,-2.531,9.756,4.599,-2.693,6.725,4.33
29,10.731,13.737,0.802,-2.379,9.975,4.496,-2.8680000000000003,7.153,3.4760000000000004
30,10.71,15.249,-0.188,-2.687,10.245,4.413,-3.1060000000000003,7.459,3.267
31,10.758,16.988,-1.676,-3.133,10.494000000000002,4.302,-3.409,7.646,3.6639999999999997
32,11.267999999999999,18.953,-3.522,-3.361,10.608,4.25,-3.6439999999999997,8.113999999999999,3.905
33,11.626,21.675,-4.575,-3.263,10.75,4.392,-3.971,8.618,3.292
34,11.392999999999999,25.744,-4.16,-3.06,11.024,4.654,-4.159,9.112,2.352
35,10.277999999999999,31.548000000000002,-2.77,-2.9330000000000003,11.349,4.899,-3.912,9.755,2.126
36,8.825,35.385,0.48100000000000004,-2.959,11.74,5.065,-3.3939999999999997,10.343,1.925
37,9.068999999999999,37.303000000000004,4.231,-3.141,12.134,5.109,-2.65,10.799000000000001,1.675
38,11.504000000000001,34.242,1.3519999999999999,-3.259,12.515999999999998,5.063,-1.919,11.037,2.008
39,11.187999999999999,30.59,-3.128,-3.176,12.969,4.993,-1.334,10.945,2.379
40,6.138,28.608,-4.805,-3.105,13.472,4.925,-0.757,10.617,2.622
41,-1.902,28.171,-5.0969999999999995,-2.968,13.913,4.891,-0.344,10.163,2.725
42,-13.045,28.881,-5.052,-2.6460000000000004,14.224,4.859,-0.17,9.691,2.5580000000000003
43,-25.855999999999998,29.608,-3.6319999999999997,-2.334,14.402,4.848,-0.138,9.398,2.155
44,-32.54,27.843000000000004,0.903,-2.121,14.536,4.863,-0.225,9.372,1.732
45,-29.75,23.406,4.967,-1.952,14.544,4.841,-0.456,9.58,1.443
46,-22.245,19.725,7.379,-1.823,14.467,4.75,-0.8440000000000001,9.91,1.358
47,-16.156,17.961,9.088,-1.6869999999999998,14.369000000000002,4.658,-1.422,10.162,1.3659999999999999
48,-12.682,17.649,10.478,-1.547,14.18,4.591,-2.1180000000000003,10.245999999999999,1.518
49,-10.567,18.143,11.352,-1.398,13.867,4.511,-2.907,10.107999999999999,1.703
50,-8.85,18.188,13.314,-1.138,13.461,4.42,-3.7889999999999997,9.809,1.8219999999999998
51,-7.428,17.016,15.192,-0.8420000000000001,12.996,4.2780000000000005,-4.574,9.463,1.93
52,-5.879,15.249,15.815,-0.737,12.473,4.032,-5.249,9.158,2.149
53,-3.988,13.728,15.544,-0.8009999999999999,11.989,3.788,-5.726,8.952,2.448
54,-2.358,12.667,15.062999999999999,-0.8540000000000001,11.542,3.582,-5.867999999999999,8.831,2.88
55,-1.706,12.05,14.673,-0.83,11.059,3.385,-5.495,8.753,3.2560000000000002
56,-2.331,11.960999999999999,14.602,-0.7979999999999999,10.552,3.207,-4.7330000000000005,8.649,3.508
57,-3.6830000000000003,12.413,14.418,-0.731,10.086,3.03,-3.78,8.497,3.654
58,-5.167999999999998,13.339,14.248,-0.596,9.544,2.8110000000000004,-2.7039999999999997,8.323,3.904
59,-6.502999999999999,14.305,14.11,-0.522,8.872,2.613,-1.6380000000000001,8.126,4.215
60,-7.474,14.818,13.847000000000001,-0.569,8.175,2.437,-0.745,8.006,4.537
61,-8.218,14.633,13.927999999999999,-0.588,7.57,2.267,-0.135,7.981,4.908
62,-8.68,13.854000000000001,14.234000000000002,-0.505,7.002000000000002,2.131,0.21100000000000002,8.042,5.332000000000002
63,-8.61,12.96,14.645,-0.485,6.433,2.04,0.363,8.122,5.702000000000001
64,-8.186,12.33,14.991,-0.644,5.881,1.95,0.406,8.176,5.8389999999999995
65,-7.871,11.978,15.345999999999998,-0.879,5.365,1.791,0.445,8.167,5.723
66,-7.74,11.741,15.161,-1.02,4.907,1.5530000000000002,0.462,8.147,5.522
67,-7.3370000000000015,11.610999999999999,14.469000000000001,-0.98,4.588,1.298,0.413,8.283,5.47
68,-6.511,11.594000000000001,13.515,-0.907,4.439,1.068,0.225,8.668,5.605
69,-5.484,11.632,12.517999999999999,-0.984,4.5710000000000015,0.877,-0.07400000000000001,9.206,5.769
70,-4.3610000000000015,11.769,11.581,-1.219,4.841,0.789,-0.508,9.838,5.8610000000000015
71,-3.22,12.055,10.870999999999999,-1.3230000000000002,5.0939999999999985,0.758,-1.033,10.515,5.898
72,-2.211,12.287,10.342,-1.301,5.3210000000000015,0.769,-1.587,11.017000000000001,5.915
73,-1.361,12.334000000000001,10.068999999999999,-1.194,5.4289999999999985,0.875,-2.28,11.085,5.807
74,-0.715,12.184000000000001,9.797,-1.277,5.412000000000001,1.12,-3.1889999999999996,10.584000000000001,5.692
75,-0.20600000000000002,11.880999999999998,9.426,-1.614,5.292000000000002,1.328,-4.427,9.632,5.6160000000000005
76,0.265,11.460999999999999,8.927,-1.92,5.2360000000000015,1.545,-5.544,8.475,5.313
77,0.779,10.933,8.384,-1.93,5.32,1.6969999999999998,-5.711,7.284,4.697
78,1.156,10.315,7.76,-2.076,5.32,1.724,-4.684,6.31,3.8680000000000003
79,1.41,9.656,7.117000000000001,-2.041,5.409,1.69,-3.25,5.5070000000000014,2.81
80,1.632,9.011000000000001,6.568,-1.955,5.424,1.756,-1.771,4.942,1.871
81,1.7819999999999998,8.49,6.1339999999999995,-1.89,5.556,2.063,-0.606,4.717,1.334
82,1.964,8.212,5.892,-1.866,5.903,2.221,0.139,4.831,1.238
83,2.324,8.29,5.8320000000000025,-1.93,6.489,2.17,0.42,5.239,1.3259999999999998
84,2.952,8.632,5.976,-1.987,7.195,2.377,0.387,5.811,1.536
85,3.78,9.03,6.314,-1.99,7.901,2.648,0.28,6.359,1.8219999999999998
86,4.521,9.256,6.7379999999999995,-2.046,8.467,3.085,0.281,6.7620000000000005,2.266
87,4.978,9.212,6.914,-2.201,8.945,3.789,0.48700000000000004,6.987,2.822
88,5.065,8.99,6.712999999999999,-2.369,9.331,4.475,0.9420000000000001,7.075,3.3930000000000002
89,5.019,8.854,6.2929999999999975,-2.336,9.488,4.817,1.5530000000000002,7.135,3.752
90,4.957,8.945,5.734,-2.124,9.523,4.787,2.209,7.242000000000001,3.7910000000000004
91,5.061,9.286,5.09,-1.805,9.785,4.699,2.878,7.397,3.51
92,5.428999999999999,9.759,4.312,-1.517,10.21,4.76,3.443,7.59,3.214
93,6.242999999999999,10.198,3.7460000000000004,-1.124,10.458,4.894,3.8280000000000003,8.033999999999999,3.2119999999999997
94,7.423999999999999,10.499,3.693,-0.475,10.411,4.9060000000000015,3.943,8.787,3.6210000000000004
95,8.774,10.523,3.9619999999999997,0.198,10.27,4.556,3.668,9.646,4.871
96,9.93,10.196,4.263,1.038,9.963,4.101,2.872,10.241,6.859
97,10.53,9.606,4.59,1.836,9.725,3.579,1.8459999999999999,10.562999999999999,8.55
98,10.1,8.961,4.9060000000000015,2.2840000000000003,9.618,3.132,1.037,10.693,9.424
99,8.897,8.472999999999999,5.0360000000000005,1.993,9.606,3.0210000000000004,0.638,10.718,9.346
100,7.47,8.14,4.954,1.135,9.686,3.189,0.35100000000000003,10.727,8.435
101,6.274,7.862999999999999,4.706,0.132,9.801,3.408,-0.063,10.682,7.258999999999999
102,5.441,7.547999999999999,4.439,-0.68,10.08,3.4730000000000003,-0.517,10.508,6.233
103,4.966,7.1979999999999995,4.217,-1.063,10.278,3.28,-0.97,10.171,5.595
104,4.852,6.829,3.9210000000000003,-0.971,10.357,3.074,-1.492,9.676,5.608
105,5.0089999999999995,6.494,3.577,-0.464,10.307,2.994,-1.96,9.086,5.995
106,5.227,6.159,3.3569999999999998,0.456,10.141,3.005,-2.1390000000000002,8.586,6.025
107,5.309,5.835,3.341,1.524,9.956,2.934,-1.9669999999999999,8.246,5.608
108,5.202999999999999,5.5310000000000015,3.367,2.266,9.95,2.713,-1.75,8.094,4.982
109,4.925,5.225,3.389,2.478,10.127,2.5980000000000003,-1.581,8.079,4.356
110,4.4719999999999995,4.934,3.303,2.277,10.315,2.792,-1.517,8.1,3.885
111,3.918,4.6530000000000005,3.2119999999999997,1.85,10.23,3.274,-1.618,8.144,3.82
112,3.405,4.372,3.109,1.255,9.817,3.748,-1.7930000000000001,8.276,4.165
113,3.015,4.1160000000000005,2.8789999999999996,0.56,9.245,3.861,-1.733,8.482999999999999,4.388999999999999
114,2.8080000000000003,4.0,2.6039999999999996,-0.135,8.757,3.5610000000000004,-1.354,8.645,4.1960000000000015
115,2.91,4.123,2.574,-0.765,8.496,3.031,-0.81,8.764,3.735
116,3.318,4.413,2.844,-1.196,8.547,2.642,-0.364,8.924,3.484
117,3.7739999999999996,4.691,3.255,-1.15,8.644,2.577,-0.187,9.023,3.741
118,4.019,4.837,3.525,-0.546,8.529,2.677,-0.205,9.046,3.99
119,3.949,4.8469999999999995,3.637,0.521,8.037,2.739,-0.171,9.112,4.24
120,3.577,4.7989999999999995,3.6189999999999998,1.705,7.357,2.605,0.099,9.297,4.204
121,3.065,4.768,3.5589999999999997,3.013,6.823,2.276,0.588,9.649,3.697
122,2.532,4.735,3.542,4.402,6.796,2.518,1.341,10.161,2.697
123,2.201,4.785,3.68,5.195,7.204,3.579,2.278,10.985999999999999,1.881
124,2.282,4.979,3.9739999999999998,4.488,7.329,4.2410000000000005,3.383,12.084000000000001,1.8519999999999999
125,2.707,5.3260000000000005,4.3,2.9330000000000003,7.44,4.088,4.687,13.325,2.9760000000000004
126,3.302,5.7570000000000014,4.515,1.393,8.113,3.36,6.0729999999999995,14.341,4.313
127,3.8369999999999997,6.199,4.8469999999999995,0.117,9.094,1.814,7.0329999999999995,14.931,4.159
128,3.8369999999999997,6.199,4.8469999999999995,-0.655,10.409,0.462,7.282,15.220999999999998,3.326
129,3.988,6.564,5.084,-0.728,10.433,0.195,6.7620000000000005,15.082,2.0269999999999997
130,4.045,7.0470000000000015,5.115,0.067,9.281,1.053,6.0429999999999975,14.569,0.715
131,4.355,7.7479999999999976,5.185,1.089,7.269,2.274,5.715,13.889000000000001,-0.095
132,4.9319999999999995,8.468,5.21,1.514,5.246,3.292,6.021,13.087,-0.493
133,5.607,9.054,5.207000000000002,1.235,4.599,3.452,6.4620000000000015,12.257,-1.507
134,6.245,9.48,5.48,1.6269999999999998,5.528,2.889,6.7379999999999995,11.690999999999999,-2.114
135,6.689,9.676,6.057,2.963,6.817,2.4730000000000003,6.8229999999999995,11.134,-1.92
136,6.9170000000000025,9.613,6.693,3.882,7.572,2.468,6.294,10.337,-1.778
137,6.9170000000000025,9.613,7.239,4.009,7.567,2.377,5.234,9.467,-2.149
138,6.62,9.336,7.545,3.4930000000000003,7.676,2.065,4.022,8.601,-2.602
139,5.867000000000001,9.136000000000001,7.539,2.541,8.174,2.212,2.7110000000000003,7.8020000000000005,-2.8930000000000002
140,5.0889999999999995,9.187000000000001,7.746,1.4169999999999998,8.487,2.874,1.264,6.8329999999999975,-3.378
141,4.621,9.402999999999999,7.737999999999999,0.4370000000000001,8.362,3.674,-0.359,5.742000000000001,-4.438
142,4.706,9.607000000000001,7.633999999999999,-0.249,7.981,4.384,-2.142,4.735,-5.082
143,5.316,9.637,7.569,-0.573,7.921,5.011,-4.043,3.812,-4.703
144,6.227,9.499,7.622000000000001,-0.669,8.547,5.851,-5.88,2.911,-3.7969999999999997
145,7.155,9.293,7.665,-0.833,9.451,6.776,-7.391,2.102,-2.5610000000000004
146,7.818,9.1,7.757999999999999,-0.93,9.699,7.35,-8.231,1.445,-1.2690000000000001
147,7.977,8.915,7.919,-0.777,9.392,7.433,-8.126,1.222,-0.218
148,7.6610000000000005,8.764,8.061,-0.318,9.17,7.268,-7.061,1.462,0.887
149,7.1320000000000014,8.619,8.131,0.297,9.173,7.141,-5.4879999999999995,2.094,1.86
150,6.614,8.472000000000001,8.107999999999999,0.575,9.232,7.082999999999998,-3.877,2.9760000000000004,2.6239999999999997
151,6.309,8.335,7.955,0.413,9.14,7.062,-2.33,3.929,3.1889999999999996
152,6.3329999999999975,8.249,7.7070000000000025,0.017,8.918,7.095,-1.014,4.6930000000000005,3.7739999999999996
153,6.6270000000000024,8.195,7.41,-0.35200000000000004,8.623,7.074,0.127,5.309,4.329
154,7.0429999999999975,8.097000000000001,7.1229999999999976,-0.669,8.382,6.931,1.226,5.71,4.925
155,7.407999999999999,7.926,6.942,-0.898,8.22,6.676,2.452,6.0329999999999995,5.266
156,7.545,7.699,6.845,-0.974,8.116,6.351,4.073,6.25,4.908
157,7.4289999999999985,7.47,6.8210000000000015,-0.84,8.042,6.091,6.0760000000000005,6.103,3.572
158,7.122000000000001,7.256,6.899,-0.54,8.059,5.959,7.669,5.671,2.3890000000000002
159,6.732,7.016,7.002999999999999,-0.184,8.145,5.975,6.729,5.3729999999999976,2.316
160,6.358,6.747000000000001,7.084,0.11,8.23,6.167000000000002,4.168,4.978,2.084
161,6.086,6.481,7.199,0.333,8.339,6.434,1.4469999999999998,4.805,1.268
162,5.902,6.297999999999999,7.225,0.449,8.441,6.711,-0.889,5.3370000000000015,1.141
163,5.754,6.195,7.19,0.451,8.496,6.88,-2.835,6.638999999999999,2.423
164,5.6129999999999995,6.0920000000000005,7.022,0.391,8.581,6.851,-4.43,8.987,3.892
165,5.472,5.9239999999999995,6.843,0.341,8.704,6.698,-5.962999999999999,12.415999999999999,5.202999999999999
166,5.2589999999999995,5.718999999999999,6.76,0.326,8.898,6.396,-7.441,16.682000000000002,6.787999999999999
167,5.004,5.527,6.712999999999999,0.365,9.027,6.1179999999999986,-7.375,20.983,7.934
168,4.798,5.364,6.705,0.389,9.055,6.08,-8.492,23.434,7.734
169,4.717,5.195,6.772,0.425,8.967,6.225,-7.8329999999999975,22.599,6.902
170,4.763,5.016,6.864,0.547,8.886000000000003,6.409,-5.8320000000000025,18.167,6.312
171,4.796,4.806,6.888,0.716,8.856,6.511,-4.312,18.361,4.998
172,4.782,4.599,6.899,0.8370000000000001,8.835,6.478,-3.391,13.24,3.4419999999999997
173,4.745,4.368,6.858,0.984,8.787,6.3889999999999985,-2.7739999999999996,8.261000000000001,3.135
174,4.663,4.137,6.8729999999999976,1.195,8.672,6.345,-2.336,4.271,4.578
175,4.5360000000000005,3.91,6.947,1.476,8.51,6.3610000000000015,-2.166,2.265,4.445
176,4.409,3.742,6.999,1.686,8.283999999999999,6.347,-2.042,2.884,6.169
177,4.276,3.62,7.1129999999999995,1.828,8.004,6.3,-1.571,5.64,6.944
178,4.137,3.545,7.1979999999999995,1.939,7.851,6.268,-0.831,9.323,6.061
179,4.011,3.516,7.211,1.987,7.81,6.249,-0.025,12.534,4.5969999999999995
180,3.8760000000000003,3.511,7.277,1.941,7.779,6.199,0.9229999999999999,14.068,4.0489999999999995
181,3.792,3.554,7.3439999999999985,1.891,7.755,6.17,1.419,13.402000000000001,4.218999999999999
182,3.736,3.737,7.4570000000000025,1.961,7.726,6.1320000000000014,0.777,11.526,4.231
183,3.5210000000000004,3.98,7.672999999999999,2.087,7.651,6.063,-0.10800000000000001,9.525,4.405
184,3.19,4.208,7.8329999999999975,2.194,7.525,5.93,-0.561,7.997000000000001,4.556
185,2.8560000000000003,4.408,7.934,2.213,7.3610000000000015,5.768,-0.7490000000000001,7.314,4.368
186,2.456,4.5569999999999995,7.9860000000000015,2.152,7.147,5.551,-0.991,7.496,4.306
187,2.079,4.652,8.004,2.108,6.899,5.329,-1.518,8.074,4.561
188,1.7930000000000001,4.738,7.955,2.137,6.62,5.155,-2.224,8.558,4.7860000000000005
189,1.569,4.798,7.901,2.227,6.296,5.003,-2.927,8.793,4.721
190,1.403,4.833,7.847,2.319,5.948,4.873,-3.6039999999999996,8.873,4.496
