,wx,wy,wz,nx,ny,nz,tx,ty,tz
0,-18.857,-20.035999999999998,-5.35,-4.363,8.383,3.214,-0.5329999999999999,10.033999999999999,1.511
1,-18.016,-20.158,-4.966,-4.972,8.447000000000001,3.625,-0.39299999999999996,9.669,1.811
2,-16.105,-18.15,-5.101,-5.144,8.349,4.0710000000000015,-0.209,9.335,1.979
3,-16.095,-14.668,-4.181,-4.996,8.062000000000001,4.6110000000000015,0.047,9.1,2.066
4,-16.315,-9.342,-2.9330000000000003,-4.852,7.671,5.127000000000002,0.28600000000000003,8.993,2.113
5,-11.27,-3.826,-2.772,-4.7860000000000005,7.35,5.332000000000002,0.35700000000000004,8.994,2.12
6,-4.074,1.4709999999999999,-1.052,-4.988,7.2360000000000015,5.127000000000002,0.235,9.076,2.03
7,3.904,4.979,0.537,-5.292000000000002,7.427,4.5310000000000015,-0.034,9.12,1.781
8,8.705,8.165,1.6269999999999998,-5.434,7.657,3.789,-0.342,9.152999999999999,1.581
9,9.896,9.521,1.214,-5.185,7.6629999999999985,3.3160000000000003,-0.725,9.293,1.44
10,9.002,11.205,-0.34600000000000003,-4.586,7.476,3.197,-1.032,9.479,1.311
11,9.032,14.532,-1.6440000000000001,-3.741,7.3039999999999985,3.089,-1.5219999999999998,9.687999999999999,1.247
12,10.445,22.095,-6.567,-2.824,7.347,3.018,-1.828,9.839,1.276
13,10.578,26.055,-8.375,-1.921,7.4460000000000015,3.015,-1.736,9.839,1.3130000000000002
14,8.192,24.397,-9.82,-1.091,7.562,3.123,-1.7380000000000002,9.924,1.2209999999999999
15,5.9460000000000015,20.369,-10.299000000000001,-0.447,7.67,3.432,-1.506,9.937000000000001,1.2209999999999999
16,5.409,15.34,-9.743,-0.232,7.645,3.644,-1.0270000000000001,10.022,0.693
17,6.178,9.737,-8.853,-0.54,7.616,3.765,-0.35,10.275,0.7829999999999999
18,5.6679999999999975,4.093999999999999,-8.355,-1.208,7.695,3.809,0.348,10.76,0.526
