,wx,wy,wz,nx,ny,nz,tx,ty,tz
0,1.359,0.66,9.404,-0.287,8.763,3.3480000000000003,-1.324,-5.41,4.043
1,1.501,0.563,9.521,-0.28600000000000003,8.697000000000001,3.405,-1.374,-5.332000000000002,4.088
2,1.7409999999999999,0.47,9.61,-0.278,8.618,3.479,-1.55,-5.244,4.348
3,2.082,0.447,9.847000000000001,-0.262,8.57,3.529,-1.505,-5.021,5.273
4,2.388,0.515,10.185,-0.206,8.57,3.505,-1.505,-5.021,5.273
5,2.401,0.575,10.446,-0.097,8.6,3.491,-1.3980000000000001,-4.742,5.678
6,2.557,0.5670000000000001,10.555,-0.012,8.68,3.529,-1.256,-4.398,5.871
7,2.503,0.5670000000000001,10.696,0.02,8.728,3.591,-1.33,-4.019,6.106
8,2.443,0.493,10.921,0.02,8.724,3.637,-1.6840000000000002,-3.645,6.296
9,2.521,0.324,11.071,-0.026,8.726,3.68,-2.24,-3.221,6.4060000000000015
10,2.674,0.013999999999999999,11.116,-0.067,8.744,3.734,-2.8539999999999996,-2.725,6.6579999999999995
11,2.7960000000000003,-0.318,11.116,-0.085,8.827,3.83,-3.3939999999999997,-2.2359999999999998,6.827999999999999
12,2.861,-0.573,11.163,-0.111,8.935,3.94,-3.7769999999999997,-1.8019999999999998,6.865
13,2.82,-0.764,11.254000000000001,-0.122,8.988,4.05,-3.947,-1.483,6.706
14,2.697,-0.934,11.284,-0.124,8.953,4.124,-3.9589999999999996,-1.22,6.434
15,2.5340000000000003,-1.153,11.245999999999999,-0.102,8.888,4.1160000000000005,-3.877,-0.8390000000000001,6.4979999999999976
16,2.369,-1.4369999999999998,11.175999999999998,-0.075,8.808,4.105,-3.676,-0.32899999999999996,6.7479999999999976
17,2.219,-1.689,10.994000000000002,-0.055,8.708,4.1,-4.093,0.648,8.125
18,2.157,-1.834,10.787,-0.066,8.644,4.088,-4.093,0.648,8.125
19,2.253,-1.912,10.594000000000001,-0.079,8.649,4.0710000000000015,-4.6,1.0590000000000002,8.933
20,2.3569999999999998,-1.9980000000000002,10.418,-0.119,8.75,4.1160000000000005,-5.085,1.421,9.791
