,wx,wy,wz,nx,ny,nz,tx,ty,tz
0,-10.622,22.035,-3.859,0.731,6.4460000000000015,5.26,0.066,13.708,-4.565
1,-8.746,21.514,-3.045,0.557,6.4510000000000005,5.205,1.047,12.912,-5.812
2,-6.959,20.816,-2.13,0.411,6.431,5.13,1.9880000000000002,11.274000000000001,-5.732
3,-5.5329999999999995,20.069000000000006,-1.4040000000000001,0.327,6.428,5.091,2.819,9.02,-3.055
4,-4.44,19.363,-0.98,0.305,6.46,5.1160000000000005,3.272,6.914,-0.88
5,-3.549,18.535999999999998,-0.748,0.354,6.482,5.088,3.8680000000000003,5.303,-0.737
6,-2.7039999999999997,17.499000000000002,-0.534,0.354,6.4460000000000015,4.994,4.277,5.492000000000001,-0.737
7,-1.844,16.284000000000002,-0.135,0.424,6.404,4.919,3.912,6.732,-0.478
8,-1.0190000000000001,15.026,0.4320000000000001,0.503,6.384,4.976,2.908,8.71,0.745
9,-0.297,13.763,1.03,0.5329999999999999,6.363,5.034,1.73,10.665999999999999,2.313
10,0.395,12.523,1.669,0.4920000000000001,6.363,5.053,0.32,12.267999999999999,3.71
11,1.149,11.255999999999998,2.283,0.433,6.348,5.167999999999998,-1.304,13.312999999999999,5.191
12,2.089,9.905,2.793,0.35600000000000004,6.412000000000001,5.394,-3.057,13.854000000000001,6.8389999999999995
13,3.305,8.513,3.355,0.308,6.529,5.675,-4.87,13.637,8.389
14,4.627,7.063,4.016,0.35,6.665,5.982,-6.7920000000000025,13.1,9.574
15,5.9460000000000015,5.525,4.754,0.444,6.79,6.3039999999999985,-8.076,12.687999999999999,10.405999999999999
16,7.063,3.99,5.223,0.511,6.919,6.251,-8.124,12.447000000000001,10.635
17,8.056000000000001,2.551,5.442,0.5529999999999999,7.05,6.353,-7.114,12.342,10.306
18,9.042,1.284,5.654,0.528,7.256,6.354,-5.484,11.909,9.424
19,9.612,0.217,5.654,0.444,7.484,6.42,-3.5060000000000002,11.174000000000001,8.097999999999999
20,9.801,-0.546,5.7989999999999995,0.3,7.599,6.5539999999999985,-1.3869999999999998,10.392000000000001,6.4270000000000005
21,9.847000000000001,-0.9790000000000001,6.087999999999999,0.092,7.854,6.738,0.721,9.793,5.053999999999999
