,wx,wy,wz,nx,ny,nz,tx,ty,tz
0,3.528,11.539000000000001,-1.307,2.787,-3.402,-1.737,0.415,9.649,0.3720000000000001
1,4.36,11.334000000000001,-0.8270000000000001,1.924,-0.752,-1.805,0.532,9.668,0.305
2,5.391,10.561,0.084,0.903,0.998,-2.009,0.615,9.674,0.23199999999999998
3,5.12,9.946,0.22699999999999998,0.17800000000000002,0.91,-1.842,0.687,9.638,0.157
4,4.9639999999999995,10.177999999999999,0.341,-0.071,0.281,-1.099,0.7290000000000001,9.562000000000001,0.10300000000000001
5,5.441,10.307,0.04,-0.083,0.378,-0.215,0.716,9.513,0.023
6,5.441,9.741,0.20600000000000002,-0.04,1.3,0.221,0.7020000000000001,9.474,-0.124
7,5.303999999999999,8.577,1.033,-0.127,2.395,0.268,0.687,9.455,-0.254
8,4.9639999999999995,7.372000000000001,1.86,-0.368,2.932,0.192,0.648,9.479,-0.304
9,5.71,7.183,2.427,-0.611,2.685,0.14,0.59,9.531,-0.32299999999999995
10,7.1670000000000025,6.311,2.397,-0.816,1.859,0.049,0.52,9.6,-0.32
11,7.375,5.605,2.541,-0.88,0.85,-0.154,0.45299999999999996,9.656,-0.27899999999999997
12,7.016,5.034,2.8680000000000003,-0.851,-0.181,-0.332,0.377,9.699,-0.24100000000000002
13,7.614,4.417,3.511,-0.838,-0.978,-0.463,0.315,9.742,-0.193
14,9.452,3.733,4.0569999999999995,-1.069,-1.395,-0.487,0.248,9.76,-0.139
15,10.862,3.237,3.997,-1.675,-1.486,-0.344,0.158,9.777000000000001,-0.091
16,10.937000000000001,3.695,2.983,-2.3480000000000003,-1.334,-0.016,0.086,9.771,-0.069
17,9.322000000000001,4.529,2.138,-2.728,-1.141,0.37,0.066,9.736,-0.069
18,9.214,4.857,1.6840000000000002,-2.653,-1.062,0.555,0.09300000000000001,9.7,-0.083
19,10.709000000000001,5.6720000000000015,1.705,-2.131,-1.065,0.454,0.141,9.699,-0.09699999999999999
20,11.364,7.3329999999999975,0.875,-1.305,-1.033,-0.002,0.215,9.707,-0.069
21,11.854000000000001,9.152000000000001,-0.03,-0.469,-0.989,-0.563,0.309,9.722000000000001,-0.016
22,11.24,10.221,-0.431,0.187,-0.952,-0.772,0.369,9.72,0.055
23,10.167,10.597000000000001,-0.158,0.455,-0.996,-0.457,0.373,9.703,0.153
24,8.92,10.25,0.54,0.272,-1.204,0.354,0.326,9.67,0.221
25,7.537000000000001,9.541,0.93,-0.08,-1.587,1.138,0.27399999999999997,9.64,0.225
26,6.063,9.347999999999999,0.534,-0.35200000000000004,-1.891,1.401,0.255,9.627,0.129
27,5.648,7.932,0.223,-0.476,-1.465,1.422,0.262,9.626,-0.017
28,6.522,7.69,0.8009999999999999,-0.535,0.851,1.984,0.26,9.658999999999999,-0.14400000000000002
29,8.362,7.327000000000001,0.836,-0.645,5.711,3.758,0.218,9.691,-0.257
30,8.174,6.8260000000000005,0.528,-0.904,12.177,6.669,0.14400000000000002,9.7,-0.311
31,7.022,5.9179999999999975,0.297,-1.375,18.359,10.439,0.054000000000000006,9.695,-0.34700000000000003
32,6.725,4.907,0.262,-1.864,22.425,14.114,-0.034,9.681000000000001,-0.375
33,7.252999999999999,4.102,0.35100000000000003,-2.218,24.854,16.592,-0.07200000000000001,9.675,-0.34700000000000003
34,8.267999999999999,3.758,0.535,-2.647,28.805,18.399,-0.092,9.667,-0.29
35,7.891,3.2510000000000003,0.429,-3.733,33.697,19.47,-0.055,9.668,-0.20199999999999999
36,6.9639999999999995,2.053,0.405,-4.9510000000000005,36.459,21.159,0.022000000000000002,9.681000000000001,-0.141
37,5.942,0.57,0.737,-5.048,36.656,22.629,0.145,9.7,-0.113
38,5.131,-0.74,1.004,-3.875,34.591,22.862,0.29,9.707,-0.081
39,4.414,-1.6540000000000001,1.541,-2.71,31.862,22.137,0.41100000000000003,9.687999999999999,-0.047
40,3.373,-2.303,1.725,-2.279,28.399,20.334,0.484,9.656,-0.036000000000000004
41,2.108,-2.8960000000000004,1.496,-2.74,24.064,18.268,0.516,9.662,-0.025
42,1.828,-3.4989999999999997,1.2790000000000001,-3.4130000000000003,19.38,15.617,0.511,9.671,-0.001
43,1.635,-4.312,0.807,-3.789,15.021,12.365,0.44799999999999995,9.669,0.055
44,0.28,-5.075,0.62,-3.657,11.235,8.8,0.37799999999999995,9.642999999999999,0.139
45,-1.2930000000000001,-5.782,0.789,-2.974,7.527,5.073,0.33,9.625,0.174
46,-1.8730000000000002,-6.644,0.965,-1.686,3.699,1.6769999999999998,0.298,9.606,0.182
47,-1.561,-7.4460000000000015,1.21,-0.038,0.024,-0.379,0.284,9.607000000000001,0.201
