,wx,wy,wz,nx,ny,nz,tx,ty,tz
0,2.21,8.736,0.534,1.641,6.94,3.639,-2.8169999999999997,7.709,5.811
1,2.315,8.871,0.7190000000000001,1.709,6.96,3.688,-4.043,8.267000000000001,5.936
2,2.404,8.941,1.006,1.774,6.877000000000002,3.901,-4.02,8.564,6.1579999999999995
3,2.5980000000000003,9.086,1.188,1.852,6.602,4.155,-4.743,8.647,6.296
4,2.904,9.274,1.4269999999999998,1.968,6.3,4.4030000000000005,-5.025,8.34,6.329
5,2.46,9.437999999999999,1.694,2.079,6.178,4.624,-4.9110000000000005,8.543,6.303999999999999
6,2.715,9.522,1.835,2.139,6.3420000000000005,4.847,-3.99,8.073,6.181
7,2.537,9.522,1.6769999999999998,2.166,6.7429999999999986,5.126,-4.168,8.073,5.874
8,2.3569999999999998,9.93,1.3130000000000002,2.115,7.059,5.428,-3.722,7.773,5.9510000000000005
9,2.209,9.851,0.7,1.969,7.107,5.642,-3.302,7.403,5.665
10,1.8630000000000002,10.077,0.157,1.798,7.013,5.647,-2.927,7.044,5.438
11,1.7730000000000001,10.105,-0.15,1.6269999999999998,7.08,5.49,-2.611,6.8770000000000024,5.409
12,2.274,9.789,0.163,1.4880000000000002,7.881,5.523,-2.383,7.022,5.596
13,3.299,9.056000000000001,0.016,1.3869999999999998,9.281,5.9689999999999985,-2.247,7.36,5.997000000000001
14,4.499,8.134,0.46,1.277,10.937,6.71,-2.149,7.626,6.4479999999999995
15,5.327999999999999,7.436,0.899,1.032,10.975,7.374,-2.113,7.657,6.822
16,5.404,7.178999999999999,1.251,0.403,9.292,7.375,-2.076,7.454,7.072
17,4.984,7.106,1.694,-0.5710000000000001,7.58,7.286,-1.8630000000000002,7.117999999999999,7.1770000000000005
18,4.42,7.029,1.95,-1.4340000000000002,6.785,7.664,-1.4480000000000002,6.834,7.0920000000000005
19,3.821,7.0470000000000015,2.065,-1.82,6.563,8.602,-0.892,6.755,6.845
20,3.486,7.184,2.1319999999999997,-1.835,6.28,9.518,-0.281,6.907,6.54
21,3.7039999999999997,7.306,2.3609999999999998,-1.727,5.948,10.258,0.253,7.2170000000000005,6.28
22,4.218999999999999,7.229,2.8080000000000003,-1.483,5.775,10.635,0.611,7.556,6.067
23,4.626,6.879,3.2489999999999997,-1.142,5.731,10.672,0.728,7.835,5.944
24,4.603,6.5420000000000025,3.5580000000000003,-0.779,5.45,10.406,0.597,7.997000000000001,5.899
25,4.3180000000000005,6.431,3.7089999999999996,-0.36,5.0760000000000005,9.501,0.315,8.016,5.9079999999999995
26,4.037,6.521,4.023,-0.159,4.773,8.908,-0.055,7.865,5.954
27,3.8569999999999998,6.671,4.428,-0.284,4.383,8.815,-0.381,7.615,5.9579999999999975
28,3.903,6.808,4.72,-0.478,3.832,8.987,-0.597,7.3260000000000005,5.899
29,4.167,6.954,4.878,-0.551,3.23,9.239,-0.5660000000000001,7.1,5.732
30,4.246,7.211,4.822,-0.523,2.813,9.518,-0.34600000000000003,7.013,5.4879999999999995
31,4.143,7.597,4.596,-0.468,2.617,9.79,-0.040999999999999995,7.058,5.285
32,4.065,8.126,4.399,-0.408,2.456,10.016,0.239,7.223,5.1579999999999995
33,4.073,8.593,4.374,-0.35,2.279,10.107,0.4,7.415,5.095
34,4.495,8.923,4.191,-0.223,2.105,10.094,0.409,7.519,5.083
35,5.513999999999999,9.44,3.9539999999999997,0.02,2.005,9.99,0.297,7.462999999999999,5.11
36,5.513999999999999,9.44,3.9539999999999997,0.376,1.958,9.906,0.122,7.2410000000000005,5.149
37,5.067,9.667,3.7110000000000003,0.784,1.911,9.895,-0.126,7.004,5.24
38,4.24,10.183,3.425,1.126,1.854,9.95,-0.44299999999999995,6.732,5.397
39,3.361,10.595999999999998,3.7289999999999996,1.298,1.84,10.017,-0.747,6.39,5.385
40,3.667,10.251,4.0680000000000005,1.3230000000000002,1.944,10.027,-0.9359999999999999,6.093999999999999,5.257999999999999
41,5.0360000000000005,9.687999999999999,4.6080000000000005,1.268,2.125,9.986,-0.919,5.83,5.004
42,6.95,9.182,4.956,1.217,2.322,9.912,-0.7509999999999999,5.631,4.62
43,8.437999999999999,8.788,4.8180000000000005,1.207,2.48,9.834,-0.4920000000000001,5.5710000000000015,4.143
44,9.379,8.395,4.095,1.227,2.594,9.723,-0.184,5.8870000000000005,3.7760000000000002
45,10.068999999999999,8.004,3.464,1.293,2.68,9.621,0.075,6.9479999999999995,3.91
46,10.235,7.29,2.963,1.433,2.725,9.578,0.297,8.23,4.827
47,9.779,6.553999999999999,2.674,1.596,2.728,9.614,0.621,8.535,6.351
