session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
0,101,68,10,4,10,10,4,10,80,10,31
1,67,62,124,277,10,24,40,832,33,1,31
2,1,4,1,1,8,86,67,96,227,1,31
3,106,475,106,1,1,1,1,358,18,9,31
4,102,1,8,483,32,30,696,330,110,330,31
5,25,110,30,30,1,1,82,57,953,822,31
6,54,68,10,4,10,24,10,40,101,10,31
7,288,795,221,40,1,4,1,4,18,9,31
8,1,96,27,80,259,151,1,135,27,8,31
9,141,54,495,54,601,112,99,99,112,90,31
10,90,57,57,183,5,5,6,4,5,350,31
11,350,716,868,931,169,169,229,138,5,138,31
12,225,450,284,21,79,225,368,19,138,732,31
13,138,909,8,130,31,430,430,138,450,24,31
14,22,24,22,138,8,229,6,4,5,5,31
15,36,5,52,66,36,66,52,36,52,111,31
16,36,52,36,111,117,117,117,117,35,26,31
17,26,35,26,143,35,209,209,143,26,35,31
18,224,224,26,35,452,26,181,160,181,26,31
19,452,160,181,181,26,35,26,35,160,26,31
20,35,35,209,4,26,35,5,209,50,269,31
21,35,26,4,109,26,5,50,65,109,35,31
22,26,109,26,65,143,35,109,26,65,237,31
23,344,35,26,50,109,109,26,50,65,50,31
24,65,26,65,325,100,65,26,65,109,50,31
25,65,35,26,50,65,50,26,50,65,65,31
26,109,50,50,50,62,50,124,50,102,82,31
27,50,50,50,65,50,86,65,316,69,183,31
28,5,5,4,6,5,283,128,283,158,664,31
29,82,80,316,125,8,158,283,151,293,158,31
30,283,554,142,142,5,4,6,253,5,4,31
31,253,27,253,253,35,26,26,35,209,26,31
32,362,143,26,50,269,35,181,26,160,160,31
33,181,26,35,50,50,26,26,35,26,143,31
34,35,26,50,26,237,50,344,50,35,50,31
35,50,26,50,325,65,50,50,50,55,8,31
36,50,55,68,10,4,10,24,4,10,10,31
37,40,715,226,226,1,4,1,4,1,27,31
38,440,37,750,859,1,4,1,18,9,1,31
39,1,658,627,32,202,32,54,54,202,113,31
40,4,1,1,62,1,756,30,558,30,32,31
41,32,808,113,25,25,112,112,1,1,4,31
42,1,1,4,67,27,559,481,896,210,1,31
43,4,1,1,1,603,853,107,107,25,1,31
44,1,201,4,67,106,106,804,1,1,4,31
45,1,1,67,1,1,763,4,1,18,9,31
46,24,272,636,152,608,753,166,1,4,1,31
47,62,26,35,35,26,143,35,269,116,116,31
48,116,26,26,143,35,26,237,344,116,116,31
49,116,116,116,65,35,325,116,65,26,1,31
50,65,116,116,68,10,4,10,18,9,24,31
51,428,10,383,685,40,10,428,10,783,1,31
52,4,1,40,1,1,515,108,108,740,92,31
53,51,32,32,107,107,18,1,9,67,27,31
54,80,102,57,141,96,259,27,151,135,933,31
55,479,30,30,30,115,115,236,123,236,123,31
